"k_i","k_e","k_w","renyi_alpha","beta"
2.98034591927987,-8.91509562812113,1.87719000019458,0.0521262799567589,0.826241205823883
2.22510263136371,-9.600400323326,0.399601900862919,1.27941429420437,1.4238690990024
2.07641523268687,-3.02593666358084,-0.132285724984851,0.0498689375672909,2.48974759240527
7.91442307228374,-7.66755746836218,0.808018634293766,0.014942675010736,1.59728833391982
5.60129573048086,-9.44704492097954,1.12943985651076,0.483889691606254,1.29386229373161
9.21477006375576,-12.4592465675865,1.22438167747523,4.31606102365939,0.860197313113624
0.534334643154713,-12.786216127678,0.338410998717239,2.11107678518033,1.51374122023764
4.18702186764366,-9.12908983950557,0.214016036050153,1.60055080833494,1.37997766351629
1.52039199516093,-10.3003885651457,0.208118884984657,3.70455099917238,0.829771356591416
4.5112331505926,-11.25686085766,0.72706398348704,3.04247632257397,1.13090631400922
1.10482176810654,-7.2623050116589,0.311522091926119,0.255029635376294,2.55120796181685
3.47257463241979,-4.38496981782242,0.851439019359416,15.3582196266116,2.08761618543395
2.58633963295979,-7.6765757036853,0.174357127493137,9.35114898143769,2.5054641906945
0.645762581710509,-4.95365595453519,0.0283049263115578,1.41086228582179,2.45837945021506
4.64679046389736,-6.70191444565059,1.79013027308281,0.349460977507522,1.12773440119562
2.44667956527159,-2.67055414772756,0.084758984784557,5.95920310331169,3.54001657018348
2.85960773008394,-6.18445273166394,0.335477741305027,0.297122746631717,1.81943037456398
5.99206481691351,-9.0208346036249,1.21506994769695,16.3111755750847,0.63530630260216
3.9357677137801,-10.2961466060944,0.0926204267702851,0.0167069031209246,0.954218237985687
4.76071465753386,-9.01366686838545,0.418573877918804,0.219521904279375,1.21573370124844
2.38070502989804,-4.93025722002857,-0.109409627897519,0.1700241532092,0.959585721624724
0.97793931984295,-3.42752162387802,-0.00671554031435428,0.0280839072260398,6.28203403839099
4.28272233023545,-10.4368755252402,0.454771990681788,0.14695339172999,0.987863505628471
2.93590159070812,-12.3115998149671,0.229238752928431,11.1474690991049,1.26729186585831
6.37238305825801,-5.66632830434107,2.25522720461412,1.53125328904898,1.34809681353231
4.45473487947072,-11.870280838849,1.2220018385709,0.230850013225121,1.43307748774731
